Fib_Angle,Ply_Layers,E1/E2,Winkler,Pasternak,Rx,Ry,a/h,Skew_Angle,Poisson_R,Omega,Strat_cat
60.0,8,5.0,0.0,0.0,0.6,0.6,10.0,0.0,0.25,12.9431,EF0_Spherical
75.0,14,90.0,0.0,0.0,0.6,0.6,50.0,60.0,0.25,134.9972,EF0_Spherical
60.0,12,25.0,0.0,0.0,0.5,0.5,5.0,45.0,0.25,15.5147,EF0_Spherical
60.0,8,5.0,0.0,0.0,1.0,1.0,75.0,75.0,0.25,143.4882,EF0_Spherical
90.0,8,90.0,0.0,0.0,0.1,0.1,75.0,30.0,0.25,38.8994,EF0_Spherical
60.0,14,90.0,0.0,0.0,0.8,0.8,10.0,5.0,0.25,28.8166,EF0_Spherical
15.0,16,40.0,0.0,0.0,1.0,1.0,25.0,75.0,0.25,91.2,EF0_Spherical
15.0,8,40.0,0.0,0.0,0.25,0.25,10.0,45.0,0.25,21.6183,EF0_Spherical
15.0,4,50.0,0.0,0.0,0.25,0.25,10.0,75.0,0.25,38.9861,EF0_Spherical
15.0,4,5.0,0.0,0.0,0.1,0.1,10.0,15.0,0.25,8.6735,EF0_Spherical
45.0,4,40.0,0.0,0.0,0.4,0.4,10.0,45.0,0.25,24.0582,EF0_Spherical
75.0,14,5.0,0.0,0.0,0.8,0.8,25.0,60.0,0.25,40.8916,EF0_Spherical
30.0,8,5.0,0.0,0.0,0.6,0.6,10.0,75.0,0.25,23.0424,EF0_Spherical
75.0,6,15.0,0.0,0.0,0.6,0.6,25.0,15.0,0.25,26.2198,EF0_Spherical
75.0,4,5.0,0.0,0.0,0.1,0.1,75.0,75.0,0.25,114.5626,EF0_Spherical
75.0,4,90.0,0.0,0.0,0.4,0.4,50.0,5.0,0.25,47.9963,EF0_Spherical
15.0,10,40.0,0.0,0.0,0.8,0.8,5.0,15.0,0.25,13.4148,EF0_Spherical
90.0,6,40.0,0.0,0.0,0.8,0.8,5.0,60.0,0.25,11.3795,EF0_Spherical
30.0,8,75.0,0.0,0.0,0.5,0.5,100.0,60.0,0.25,167.5393,EF0_Spherical
45.0,8,40.0,0.0,0.0,0.1,0.1,50.0,15.0,0.25,31.5644,EF0_Spherical
60.0,16,50.0,0.0,0.0,0.8,0.8,100.0,75.0,0.25,328.2477,EF0_Spherical
75.0,6,90.0,0.0,0.0,0.1,0.1,5.0,5.0,0.25,12.2612,EF0_Spherical
30.0,12,10.0,0.0,0.0,0.8,0.8,5.0,75.0,0.25,13.6962,EF0_Spherical
15.0,14,10.0,0.0,0.0,0.1,0.1,50.0,0.0,0.25,13.5329,EF0_Spherical
60.0,6,15.0,0.0,0.0,0.6,0.6,100.0,45.0,0.25,95.4479,EF0_Spherical
30.0,12,40.0,0.0,0.0,0.25,0.25,10.0,75.0,0.25,37.7162,EF0_Spherical
60.0,14,40.0,0.0,0.0,0.6,0.6,25.0,60.0,0.25,72.381,EF0_Spherical
30.0,12,40.0,0.0,0.0,0.4,0.4,5.0,60.0,0.25,16.5282,EF0_Spherical
90.0,2,40.0,0.0,0.0,0.4,0.4,20.0,15.0,0.4,21.5526,EF0_Spherical
30.0,8,5.0,0.0,0.0,0.8,0.8,5.0,45.0,0.25,12.1397,EF0_Spherical
60.0,4,90.0,0.0,0.0,0.1,0.1,50.0,75.0,0.25,281.1795,EF0_Spherical
15.0,8,40.0,0.0,0.0,0.75,0.75,50.0,75.0,0.2,179.3912,EF0_Spherical
75.0,16,50.0,0.0,0.0,0.4,0.4,75.0,30.0,0.25,65.1365,EF0_Spherical
45.0,12,75.0,0.0,0.0,1.0,1.0,50.0,75.0,0.25,255.6934,EF0_Spherical
15.0,12,50.0,0.0,0.0,1.0,1.0,10.0,45.0,0.25,36.7935,EF0_Spherical
45.0,6,40.0,0.0,0.0,0.4,0.4,100.0,5.0,0.25,105.3267,EF0_Spherical
30.0,14,10.0,0.0,0.0,1.0,1.0,10.0,15.0,0.25,22.4666,EF0_Spherical
90.0,10,5.0,0.0,0.0,0.25,0.25,5.0,5.0,0.25,7.4793,EF0_Spherical
30.0,4,5.0,0.0,0.0,0.4,0.4,50.0,30.0,0.25,33.7394,EF0_Spherical
30.0,4,5.0,0.0,0.0,0.4,0.4,5.0,45.0,0.25,11.4714,EF0_Spherical
15.0,10,50.0,0.0,0.0,0.25,0.25,10.0,15.0,0.25,18.1935,EF0_Spherical
15.0,10,5.0,0.0,0.0,0.1,0.1,100.0,75.0,0.25,69.7219,EF0_Spherical
